sample_id,true_label,humidity,temperature,airflow,distance_to_source,ketones,aldehydes,alcohols,amines,sulfur,terpenes,acids,hazard,bio_attraction,bio_avoidance,bio_stress,bio_metabolic_shift,sensor_MOS_1,sensor_MOS_2,sensor_MOS_3,sensor_EC_1,sensor_EC_2,sensor_QCM_1,sensor_PID_1,sensor_IR_1
infection_like_voc_00293,infection_like_voc,60.04261889034648,14.614277302880556,0.3899577798451594,2.12306811050419,0.2556595482550174,0.15441876722619455,0.09732092055387571,0.19074528386685216,0.11387222822332012,0.0,0.21883080039122682,0.0402431649051474,0.44059326435462015,0.42572252197772537,0.25601599682053733,0.38644837687923883,0.29633130607679925,0.23894133837924794,0.24494697443476482,0.20308191060303915,0.1753618135937679,0.3353346749864742,0.42374688576723685,0.27529115089799966
safe_background_00196,safe_background,55.84707490500806,22.077310581084973,0.4829271756370124,9.198934227664168,0.034755082981765564,0.0,0.0,0.0,0.0,0.023338619048891986,0.015402990059756084,0.0,0.83824533672769,0.21718482670470884,0.0232952052785467,0.21153235867419695,0.05289726116714117,0.05543857640150511,0.007496223322445102,0.04500197339134261,0.019370122164262954,0.0,0.0,0.06490665621145744
safe_background_00239,safe_background,50.260032744421906,20.30647850315894,0.35032227230949087,0.6491752563258418,0.08567573191189021,0.02600004814426651,0.07782404402206966,0.0,0.02653710026663155,0.02093747315838413,0.0,0.012979802962565389,0.6948728496150484,0.04705113648892101,0.23741411036041288,0.27356029307262,0.06274856242528791,0.0,0.011866734474140377,0.01606492693489455,0.08483080515423405,0.019736083461750584,0.011810540694915363,0.057732166504651496
environmental_hazard_00176,environmental_hazard,76.49553458853222,21.731744655570733,0.3000966894346621,2.7461550216332373,0.16185027529009838,0.2727860887365102,0.15215050839810007,0.07236782417599305,0.319970046384876,0.04257584510425229,0.07848413164273169,0.49310356740829914,0.0,1.0,0.8877887337590806,0.20047057713175814,0.5202452406359035,0.62702784294018,0.5333500823185949,0.6807530268283821,0.843415552565269,0.48393961150941744,0.8306014551727476,0.5550737306404158
infection_like_voc_00287,infection_like_voc,45.130208975634815,22.703640696462998,0.6375848873181429,4.720604258831355,0.0993974637021447,0.025472932034107873,0.04313672319928588,0.13101319640129913,0.0583613305865828,0.0,0.17580813475832124,0.04378737212655893,0.4547619602431255,0.506549844644155,0.38832680177632073,0.21334610274930868,0.12473484367039166,0.06925684749410634,0.08234648624784349,0.1655946535681036,0.05055657391562679,0.22589830480026762,0.10876296695414295,0.08848398230410465
infection_like_voc_00634,infection_like_voc,54.97546564236472,22.702283818888343,0.555607597043097,1.8039793958946886,0.309163761922842,0.08543119983351344,0.0655520942562469,0.16357432047597745,0.13598962171671958,0.0,0.19863007970625254,0.13367591213874142,0.6820630092926543,0.4807370572781253,0.4797767699645285,0.36657060802372504,0.44978014235106156,0.27552175232892606,0.31609621078075334,0.41331002668611944,0.4118274902572535,0.39409501649208656,0.43658530301909676,0.3160610395744878
infection_like_voc_00362,infection_like_voc,50.84777124734279,19.238270136014577,0.5755136254980803,1.118959845185925,0.27212954978108816,0.13328154224177435,0.07769059639531596,0.2311708805658398,0.19296612237835067,0.015004495024509954,0.24664121514918455,0.17627003755708445,0.5289565549165057,0.49014159142758623,0.45283917339357005,0.278138615129249,0.36970040267794774,0.30481332980897047,0.2894953865977266,0.3511901032496648,0.3717333377700079,0.33984957064081356,0.4585459615706036,0.2488907849347764
safe_background_00486,safe_background,41.45891580945603,24.312196202358763,0.21628224556262554,2.768545105676515,0.007524741835854665,0.0,0.01975190779059996,0.010674205684954547,0.013418813913322013,0.0,0.007183067896905029,0.03627879107507203,0.6054640712700776,0.21626009827638198,0.08644690821522814,0.12312178161493208,0.00202540763003526,0.0,0.0,0.060227917513656526,0.050675410646330035,0.0,0.0,0.02192066632378228
food_spoilage_00140,food_spoilage,60.24681452638207,25.873421154604447,0.3373543023527526,1.8097958316825937,0.24147466925008554,0.1359560996542548,0.10458770891975608,0.31245054307357273,0.27398133040010475,0.019635337709199455,0.35528831235028363,0.13084989797258062,0.6513425363586505,0.5548155106780412,0.42283400639399304,0.4684310337982829,0.47089457178952854,0.5270442977150621,0.5070905719582053,0.6546425691765946,0.5539841753555959,0.5407091941139501,0.5985856035093772,0.508406160683943
environmental_hazard_00128,environmental_hazard,42.36602051197822,19.795000691883423,0.5462928545168307,0.4244654712460071,0.2927648487107333,0.32439383381698933,0.2222818520315847,0.07540787461945135,0.3789645739559885,0.07031122889243746,0.1250430592172326,0.4988495442325886,0.12552697800304016,1.0,0.9922367012037329,0.38419450240455183,0.48841170363607445,0.6100117255677496,0.5227768280603684,0.5831744062486144,0.8224673897492469,0.4157970997351368,0.8658097673051716,0.5018550525390787
